en;it;es;fr
\nb[\n[5]]Together, we can make it!;\nb[\n[5]]Insieme ce la faremo!;;
\nb[\n[5]]We're stuck here!;\nb[\n[5]]Siamo bloccati qui!;;
\nb[\n[5]]Il \n[6] must be stopped!;\nb[\n[5]]Il \n[6] verrà fermato.;;
\nb[\n[5]]There's no turning back now!;\nb[\n[5]]Non possiamo più tornare indietro!;;
\nb[\n[5]]Heroes, take to the streets and look for \n[6], or return to the \map[Kings Castle] with the passage behind me.;\nb[\n[5]]Eroi, proseguite verso le strade del villaggio e cercate il \n[6], oppure tornate al \map[Kings Castle] usando il varco dietro di me.;;
\nb[\n[5]]We avoided our doom by a hair's breadth...;\nb[\n[5]]Eroi, ce la siamo vista brutta!;;
\nb[\n[5]]The \n[6] escaped through the passage and sealed it!\|§ He...\. Sealed it somehow!;\nb[\n[5]]Il \n[6] è fuggito attraverso il varco e poi lo ha fatto sparire!\|§ Lo ha...\. chiuso, in qualche modo!;;
\nb[\n[5]]He might already be in the castle, plotting who knows what scheme...\| as if that wasn't bad enough, he just finished forging his sword!;\nb[\n[5]]Ora lui potrebbe essere già arrivato al Castello e chi lo sa cosa sta tramando...\| e come se non bastasse, ha appena finito di costruire la sua spada!;;
\nb[\n[5]]Darn it all, we're stuck!\. We cannot move from here!\. And meanwhile the \n[6] has free rein in there!;\nb[\n[5]]Dannazione, siamo fermi!\. Non possiamo muoverci di qui.\. E il \n[6] intanto ha la via libera!;;
\nb[\n[1]]What can we do?;\nb[\n[1]]Come facciamo?;;
\nb[\n[2]]Hold up, I've got an idea!;\nb[\n[2]]Aspettate, ho un’idea!;;
\nb[\n[2]]Near the village outskirts there should be a monolith...\. If I activate it then...;\nb[\n[2]]Proseguendo verso la fine del villaggio troveremo un obelisco...\. a quel punto potrò attivarlo e...;;
\nb[\n[5]]...we can use that to return to the Castle!;\nb[\n[5]]Potremo tornare al Castello!;;
\nb[\n[2]]That's right.;\nb[\n[2]]Esatto.;;
\nb[\n[1]]Nice one, \n[2]!;\nb[\n[1]]Grande \n[2]!;;
\nb[\n[5]]Let us waste no more time then.\. To the monolith!\.§ Every minute we dally may spell our doom.;\nb[\n[5]]Forza, non perdiamo altro tempo.\. Raggiungiamo l'obelisco!\.§ Ogni minuto che perdiamo potrebbe costarci caro.;;
\c[10]NOTE:\c[0] you can still access the \map[Cyberspace], but the portal at the beginning of the stage is now closed.;\c[10]NOTA:\c[0] puoi ancora entrare nel \map[Cyberspace], ma il varco posto all'inizio del livello è ora chiuso.;;
\nb[\n[5]]I'm the last one...;\nb[\n[5]]Ed io sono l'ultimo.;;
\nb[\n[5]]Hey! Fancy meeting you again!;\nb[\n[5]]Ehi! Ma guarda un po', ci incontriamo di nuovo!;;
\nb[\n[1]]Wait, how did you get here?\| We had to use another gate and go through the...\|\^;\nb[\n[1]]Scusateci, ma voi che strada avete preso per arrivare fin qui?\| No perché noi abbiamo un'altra distorsione aperta dall'altra parte e per arrivare fin qui abbiamo dovut...\|\^;;
\nb[\n[5]]We came in through the same gate you did!;\nb[\n[5]]Siamo entrati nel vostro stesso varco!;;
\nb[\n[1]]WHA-???!;\nb[\n[1]]COSA???!;;
\nb[\n[5]]Is something wrong?!;\nb[\n[5]]Perché, cos'è successo?!;;
\nb[\n[3]]Never mind...;\nb[\n[3]]Lasciamo perdere…;;
\nb[\n[2]]It's just, we had to traverse some kind of weird place to get here...\. Some kind of virtual world.;\nb[\n[2]]Nulla, è che noi per arrivare fin qui abbiamo attraversato un posto un po' strano...\. Una specie di mondo virtuale.;;
\nb[\n[5]]What are you talking about?;\nb[\n[5]]Ma di cosa state parlando?!;;
\nb[\n[2]]Never mind that.\|§ I think it has something to do with the \n[6].\. That guy's hiding something.;\nb[\n[2]]Nulla, non importa.\|§ In ogni caso pensiamo sia collegato al \n[6].\. Nasconde qualcosa quel tizio.;;
\nb[\n[5]]I'll take a look into that gate of yours later...;\nb[\n[5]]Dopo vado a dare un'occhiata dentro al vostro portale.;;
;\nb[\n[5]]Comunque, eroi...\. siamo sbucati nella \map[Kingdom Outskirts]!§ Parecchio distante da dove stavamo prima noi, nei pressi del \map[Kings Castle].;;
;\nb[\n[5]]In questa zona si trovano i vari villaggi e tutte le abitazioni dei cittadini...;;
;\nb[\n[1]]Lo sappiamo, prima di diventare eroi anche noi abitavamo qui!;;
;\nb[\n[5]]Bene, allora dovreste conoscere le strade meglio di me!;;
;\nb[\n[5]]Sapete cosa fare.\.§ Il \n[6] dev'essere qui da qualche parte.\| Cercatelo!;;
;\nb[\n[5]]Ogni qual volta desideriate tornare al \map[Kings Castle], potete entrare nel varco alle mie spalle!;;
;\nb[\n[5]]Alla fine della \map[Kingdom Outskirts] c’è un obelisco. Raggiungetelo e attivatelo il prima possibile, così potremo tornare al Castello!;;
