en;it;es;fr
\nb[\n[5]]Look...;\nb[\n[5]]Guarda...;;
\nb[\n[5]]The mystical \ni[15] is gone.;\nb[\n[5]]La magica \ni[15] è scomparsa.;;
\nb[\n[5]]Without the crown, we cannot crown a new King. That kinda goes without saying...;\nb[\n[5]]E quella corona è indispensabile per fare divenire qualcuno nuovo re del Regno.;;
\nb[\n[5]]That rotten \n[6] and his toadies must have snatched it before they departed the Kingdom...;\nb[\n[5]]Probabilmente è stata presa dal \n[6] e le sue guardie prima di sparire definitivamente dal Regno...;;
\nb[\n[5]]But he cannot crown himself King without the support of every citizen!;\nb[\n[5]]Ma anche con la corona in mano non può nulla, finchè non verrà eletto da tutti i cittadini.;;
\nb[\n[5]]And he can hardly hope to have that after all he's done!;\nb[\n[5]]E dopo quello che ha fatto è decisamente improbabile che venga eletto!;;
\nb[\n[5]]But if the Kingdom is left without a king for much longer, it might spark chaos and anarchy!;\nb[\n[5]]Ma se continuiamo a non avere un re, a breve potrebbe regnare il caos!;;
\nb[\n[5]]We must crown a new king soon...\. and for that, we must recover the \ni[15]!;\nb[\n[5]]Dobbiamo fare presto ed eleggere un nuovo re...\. e dobbiamo recuperare la \ni[15]!;;
\nb[\n[5]]Since the whereabouts of the \n[6] are unknown, we only have one chance:\. asking the old King for his crown!;\nb[\n[5]]Non sapendo dove si trovi ora il \n[6], non ci resta che un'unica possibilità:\. chiedere al nostro vecchio re la sua corona!;;
\nb[\n[5]]Only by getting the crown from the old King we can start making things right again.;\nb[\n[5]]Solo se il Re ci consegnerà la sua corona, le cose cominceranno ad andare per il verso giusto.;;
\nb[\n[5]]Still, as I've already stated...\.§ the king currently resides...\. In the \map[Dead Valley].;\nb[\n[5]]Ma, come ti ho detto...\.§ L'unico posto dove puoi trovare il Re ora è...\. La Valle dei Morti.;;
\nb[\n[5]]Before you depart for that accursed place, I still have one more thing to show you.;\nb[\n[5]]Ma prima di partire verso quel posto maledetto ho un'ultima cosa da mostrarti.;;
\nb[\n[5]]Follow me.;\nb[\n[5]]Seguimi ancora!;;
Put the crown back in its place.;Riponi la corona al suo posto.;;
\nb[\n[1]]Great, the crown is back into place.\.§ Now we can start looking for a King worthy of wearing it.;\nb[\n[1]]Perfetto, la corona è di nuovo al suo posto.\.§ Ora non ci rimane che trovare un nuovo sovrano degno di indossarla.;;
\nb[\n[3]]Let's get back to the Sage!;\nb[\n[3]]Torniamo dal Saggio!;;
;\nb[\n[1]]Ma è incredibile!§ Questo forziere sforna Spade della Rivolta in continuazione!;;
