en;it;es;fr
\nb[\n[6]]It won't be long now.\|§ We're in the endgame.;\nb[\n[6]]Ormai non resta molto.\|§ Siamo agli atti finali.;;
\nb[\n[1]]What are you doing?!\. What is this place?!;\nb[\n[1]]Cosa stai facendo?!\. E cos'è questo posto?!;;
\nb[\n[6]]Ha ha, how pathetic!\| Here come the heroes!\. The ones who believe they can save the world, while being clueless to the entire story.;\nb[\n[6]]Ahah, mi fate ridere!\| Ecco, sono arrivati gli eroi!\. Quelli che credono di poter salvare il mondo, ma non conoscono nulla sulla situazione.;;
\nb[\n[6]]You have no idea what is happening here and now.\|§ And you shouldn't interfere.;\nb[\n[6]]Non avete idea di cosa sta per succedere.\|§ E voi non dovete ficcare il naso.;;
\nb[\n[6]]Just surrender everything you have, so that I may reclaim what is mine!;\nb[\n[6]]Dovete lasciare che tutto ciò che avete torni mio!;;
\nb[\n[1]]But, but...\|;\nb[\n[1]]Ma, ma...\|;;
\nb[\n[2]]No way!;\nb[\n[2]]Non è possibile!;;
\nb[\n[1]]It...\. It's the Purple Sage!;\nb[\n[1]]È...\. è Il Saggio Viola!;;
\nb[\n[3]]Look!\. It's the green critter that always snoozes on his noggin!;\nb[\n[3]]Guardate!\. È la cosa verde che aveva in testa!;;
\nb[\n[1]]What...\. Is happening here?!;\nb[\n[1]]Ma...\. Cosa sta succedendo?!;;
\nb[???]Fools.;\nb[???]Illusi.;;
\nb[???]That body is of no more use to me.;\nb[???]Ormai quel corpo non mi serve più.;;
\nb[???]I just kept up appearances to toy with you for a while longer, waiting for the moment to come.;\nb[???]Era per intrattenervi un po', in attesa che arrivasse il momento.;;
\nb[???]Now...\|§ It is time for all to come to its end!;\nb[???]Ed ora...\|§ È giunto il momento di concludere tutto!;;
\nb[\n[1]]What are you?!;\nb[\n[1]]Cosa sei?!;;
\nb[???]It is of no concern to you.\.§ Soon enough you'll cease to exist!;\nb[???]Non vi importa.\.§ Fra poco non esisterete più!;;
\nb[???]Little do you know...\. This is HALLOWED GROUND!;\nb[???]Nemmeno lo sapete...\. voi vi trovate in un luogo SACRO!;;
\nb[???]You are treading on the most ancient place in your world!;\nb[???]Il pavimento su cui vi trovate è il luogo più antico esistente in questo mondo!;;
\nb[???]And WE were the ones to build it!;\nb[???]Ed è stato costruito da NOI.;;
\nb[???]The time for talking is over.\|§ I will now take back what rightfully belongs to me!;\nb[???]Ma ora basta parlare.\|§ È giunto il momento che mi riprenda ciò che mi appartiene!;;
\nb[\n[1]]What is going on?!!;\nb[\n[1]]Cosa succede?!!;;
\nb[\n[3]]Darn.\. We've got to get out of here, now!;\nb[\n[3]]Dannazione.\. Dobbiamo uscire di qui al più presto!;;
\nb[\n[2]]But the Sage!\.§ We have to save him!;\nb[\n[2]]Ma il Saggio!\.§ Dobbiamo salvarlo!;;
\nb[\n[3]]It's too late for him, he's dead!\. If he was alive to begin with...;\nb[\n[3]]Ormai è morto.\. È morto!;;
