en;it;es;fr
\nb[\n[1]]Right, right...;\nb[\n[1]]Eh già, già...;;
\nb[\n[1]]Right indeed...\|§ It's been so long...\|§ Since the \n[4] died, yes...;\nb[\n[1]]Eh già, già...\|§ Quanto tempo è passato...\|§ Anche dalla morte del \n[4]...;;
What's the matter with you?!\|§ How long has it been since you recovered the Teorhemas Crystal?!;Tu non stai bene!\|§ Vuoi sapere quanto tempo è passato da quando hai recuperato il Cristallo di Teorhemas?!;;
That was the other day.;È stato l'altro ieri.;;
\nb[\n[1]]Oh.;\nb[\n[1]]Ah.;;
\nb[\n[1]]When did the \n[4] die again?;\nb[\n[1]]E il \n[4] quando è morto?;;
Earlier this morning.;Stamattina.;;
The \n[4] knew of the danger that would befall us...;Il \n[4] sapeva del pericolo che stava per sopraggiungere...;;
That's why he summoned the two of us!;Per questo ha chiamato noi due!;;
\nb[\n[1]]Wait, who are you?;\nb[\n[1]]Perché, voi chi siete?;;
My name is \n[1]!;Io mi chiamo \n[1]!;;
Mine too!;Anche io!;;
\nb[\n[1]]Guess the \n[4] wasn't too creative with names...;\nb[\n[1]]Il \n[4] non aveva molta fantasia...;;
Let's focus on the oncoming danger.;Ma ora passiamo al pericolo che sopraggiunge!;;
Out with a king, in with another!\|§ And yet someone seems to have their eyes set on the throne with ill intent.;Morto un re, se ne fa uno nuovo!\|§ C'è però un tizio che vuole impossessarsi del trono che non ha per nulla buone intenzioni...;;
He wants to forge the most powerful sword in the world!§ So that he can rule uncontested!;Vuole creare la spada più potente del mondo, per regnare incontrastato!;;
He's stealing the abilities from every weapon in the world to empower a single blade: his own!;Sta rubando tutte le abilità di tutte le spade del mondo per racchiuderle in un'unica spada: la sua spada!;;
\nb[\n[1]]That explains all of my swords losing their sparkiness.;\nb[\n[1]]Ecco perché ultimamente la mia Spada Elettrica non lanciava più scariche elettriche!;;
That's right, all swords have lost their power.;Esatto, le nostre spade hanno perso tutto il loro potere.;;
We can't allow this upstart dark sovereign to carry on with his dastardly plan!;Capisci che non possiamo lasciare che questo sovrano prosegua con il suo losco piano!;;
The \n[4] knew you wouldn't make it on your own...;Il \n[4] sapeva che non ce l'avresti fatta da solo...;;
Actually, he tried to call for you, but you were nowhere to be found.\. We just happened to be passing through and he knighted us instead.;No, a dir la verità ti stava cercando poco prima di morire, ma tu non ti sei fatto vivo.\. Noi due passavamo di lì e ci ha fatto cavalieri!;;
\nb[\n[1]]Great!;\nb[\n[1]]Fantastico!;;
There's three of us, then!§ Let's team up to win the day once again!;Ora siamo in tre!§ E dovremo lottare insieme per vincere un'altra volta!;;
Let's get started, \n[1]...\|§ Starting from getting out of here!;\n[1], si comincia...\|§ Usciamo da questo posto!;;
                       \c[9]Ste's Project presents...\|\|\^;                       \c[9]Ste's Project presenta...\|\|\^;;
\c[15]\lblGAME CONTROLS:\lbl§ Move the hero with the \c[10]Arrow\c[15] Keys.\|;\c[15]\lblCOMANDI DI GIOCO:\lbl§ Muovi l'eroe con le \c[10]Frecce Direzionali\c[15].\|;;
\c[15]\lblGAME CONTROLS:\lbl§ Walk faster by holding the \c[10]SHIFT\c[15] Key.\|;\c[15]\lblCOMANDI DI GIOCO:\lbl§ Per un passo accellerato tieni premuto \c[10]SHIFT\c[15].\|;;
\c[15]\lblGAME CONTROLS:\lbl§ Interact with people and objects using the \c[10]ENTER\c[15] Key.\|;\c[15]\lblCOMANDI DI GIOCO:\lbl§ Interagisci con il tasto \c[10]INVIO\c[15].\|;;
;;;
Let's skidaddle out of here!;Usciamo da questo posto!;;
Agreed. Let's move out!;Forza, andiamo!;;
