en;it;es;fr
\nb[\n[2]]You found a \nw[13]!;\nb[\n[2]]Hai trovato una \nw[13]!;;
\nb[\n[2]]It might be greatly weakened in its current state, but many weapons like it can take on a new form if fused to certain components!;\nb[\n[2]]Questa spada è molto debole da usare allo stato in cui si trova, ma ci sono alcune armi, come ad esempio questa \nw[13], che se unite a certi elementi possono trasformarsi!;;
\nb[\n[2]]Experiment around with weapons that look like they might change form if combined.;\nb[\n[2]]Devi essere tu ad individuare le armi che possono trasformarsi grazie all'unione con questi elementi.;;
\nb[\n[2]]Let's try combining this \nw[13] with the \ni[16] we found just now.;\nb[\n[2]]Prova ora ad unire a questa \nw[13] la \ni[16] che abbiamo trovato poco fa.;;
\nb[\n[2]]Outstanding! You created a \nw[12]!§ It looks much stronger than before!;\nb[\n[2]]Fantastico, hai ottenuto una \nw[12]!§ Una versione decisamente più potente della precedente!;;
\nb[\n[2]]Additionally, thanks to the element you infused it with, the sword gained a special ability on top of that!;\nb[\n[2]]In più questa trasformazione ha fatto acquisire un'abilità speciale alla spada, grazie all'elemento con cui è stata potenziata!;;
\nb[\n[2]]Using skills is simple.\.§ Another bar should have popped up beneath your Health bar: That's the Skill Bar!;\nb[\n[2]]Usare un'abilità è molto semplice.\.§ Guarda la nuova barra apparsa sotto la tua energia: è la Barra delle Abilità!;;
\nb[\n[2]]When it's yellow, it's completely empty. It will do you no good in this state.;\nb[\n[2]]Quando è così, di colore giallo, la barra è completamente vuota e non puoi usare l'abilità della spada equipaggiata.;;
\nb[\n[2]]There, now it's completely filled!\.§ Now you can use the special skill of the sword you have equipped.;\nb[\n[2]]Guarda invece la barra adesso, è tutta piena!\.§ Significa che puoi usare la rispettiva abilità della spada che hai equipaggiato.;;
\nb[\n[2]]You can only do so when the bar is entirely full.;\nb[\n[2]]Solo quando la barra è completamente piena puoi usare l'abilità dell'arma.;;
\nb[\n[2]]To use a skill when the bar is full, press the \c[10]Q\c[0] key!;\nb[\n[2]]Per usare l'abilità, quando la barra è piena, premi il tasto \c[10]Q\c[0]!;;
\nb[\n[2]]Using a skill will consume the entire skill bar.\|§ Keep fighting to fill it again: it will refill a little bit with every baddie slain.;\nb[\n[2]]Non appena si fa uso di un'abilità, la barra si svuota del tutto.\|§ Per riempirla di nuovo, sconfiggi i nemici: si caricherà pian piano con ogni nemico sconfitto.;;
\nb[\n[2]]Just remember: skills will do you no good against bosses or inside an Arena Challenge!;\nb[\n[2]]Ricorda, però, che le abilità non avranno alcun effetto contro i boss o in una battaglia in Arena!;;
\nb[\n[2]]Let's move on.;\nb[\n[2]]Forza, proseguiamo!;;
\nb[\n[2]]Try combining the \nw[13] with the \ni[16]!;\nb[\n[2]]Prova ad unire la \nw[13] con la \ni[16]!;;
