en;it;es;fr
A game developed by§ STEFANO MERCADANTE;Un gioco realizzato da§ STEFANO MERCADANTE;;
With the collaboration of§ SIMONE TRAPASSI§ for gameplay suggestions, story and some characters names;Con la preziosa collaborazione di§ SIMONE TRAPASSI§ per consigli su gameplay, storia e nomi dei personaggi;;
With the collaboration of§ LALITA URSU§ for the design of Ibex boss;Con la preziosa collaborazione di§ LALITA URSU§ per avere ideato e disegnato il boss Stambecco;;
With the collaboration of§ for the game testing;Con la preziosa collaborazione di§ per avere testato il gioco;;
English translation curated by§ ZOROTHEGALLADE;Traduzione inglese a cura di§ ZOROTHEGALLADE;;
Scripts by;Script di;;
Soundtrack by;Musiche di;;
Special thanks to§ YOU§ for playing Our Hero! Two;Un ringraziamento speciale a§ TE§ che hai giocato Our Hero! Two;;
To find out more games go to the website§ www.stesproject.com;Per scoprire gli altri giochi della saga collegati al sito§ www.stesproject.com;;
And now… go on and reach 200% completion! Try to unlock all weapons and characters in the Trophy Hall!;Ed ora… non ti resta che completare il gioco al 200%, provando a sbloccare tutte le armi e tutti i personaggi della Sala dei Trofei!;;
To the next adventure :);Alla prossima avventura :);;
