en;it;es;fr
\nb[\n[1]]My sire!\. My sire!;\nb[\n[1]]Mio sire!\. Mio sire!;;
\nb[\n[4]]Heroes!;\nb[\n[4]]Eroi!;;
\nb[\n[1]]My sire!\. My sire!;\nb[\n[1]]Mio sire!\. Mio sire!;;
\nb[\n[4]]What are thee doing hither?!\|§ Don't thee know the \map[Dead Valley] a forsaken place be, anathema to the living?!;\nb[\n[4]]Cosa ci fate qui?!\|§ Non sapete che la \map[Dead Valley] è un luogo pericoloso e assolutamente proibito ai vivi?!;;
\nb[\n[1]]We know that, and we still got here safe and sound all the same!;\nb[\n[1]]Lo sappiamo, però vede, come può notare siamo arrivati fin qui sani e salvi!;;
\nb[\n[1]]We are unstoppable! The least stoppable of all!;\nb[\n[3]]Noi siamo gli eroi, non ci ferma nessuno!;;
\nb[\n[4]]I doth pride myself in having chosen thee.;\nb[\n[4]]Ho scelto proprio dei ragazzi in gamba.;;
\nb[\n[4]]I grant thee posthumous audience, heroes. What doth be thy purpose here?;\nb[\n[4]]Bene, quindi, cosa vi ha portato fin qui da me?;;
\nb[\n[1]]King, ever since you died the Kingdom has been left without a monarch. Soon enough, if we don't remedy that, it shall fall into total anarchy!;\nb[\n[1]]Re, da quando lei è morto, il nostro Regno non ha più un sovrano e presto, se questa situazione andrà avanti così, si teme di finire nel caos più totale!;;
\nb[\n[1]]Some upstart general came out of nowhere and tried to appoint himself as the new King!;\nb[\n[1]]C'è un generale, che non sappiamo chi sia e da dove sia venuto fuori, che vuole diventare il nuovo re del Regno.;;
\nb[\n[1]]And to do that he tried to get rid of us heroes!;\nb[\n[1]]E per farlo vuole eliminare noi poveri eroi!;;
\nb[\n[2]]Things don't look good, the \n[6] already took possession of the \ni[15] that was left unguarded in the \map[Throne Room].;\nb[\n[2]]La situazione è grave, il \n[6] ha già preso l'altra \ni[15], che si trovava incustodita nella \map[Throne Room].;;
\nb[\n[4]]Oh, nay! My \ni[15]!;\nb[\n[4]]Oh, no! La \ni[15]!;;
\nb[\n[4]]Who'd dare taketh mine \ni[15] for themselves!\. What were those guards of mine doing?!;\nb[\n[4]]Nessuno doveva poter prendere la \ni[15]!\. Cosa stavano facendo le mie guardie?!;;
\nb[\n[1]]No idea, but the \ni[15] is gone, so...\| We kinda need the one sitting on your noggin.;\nb[\n[1]]Non lo sappiamo, ma la \ni[15] è sparita, quindi...\| Abbiamo bisogno di quella sopra la sua testa.;;
\nb[\n[4]]So...\| Ehm...\| Uhm...;\nb[\n[4]]Allora...\| Ehm...\| Uhm...;;
\nb[\n[4]]I cannay bear to parteth with mine most preciouse crown! That wouldest depriveth me of mine posthumous royalty!;\nb[\n[4]]Non posso separarmi dalla mia corona, poi non sarei più un re!;;
\nb[\n[1]]What does a dead King need a crown for...;\nb[\n[1]]Ma tanto ormai lei è morto.;;
\nb[\n[1]]Can't you go back to the land of the living then?;\nb[\n[1]]Altrimenti possiamo farla resuscitare in qualche modo?;;
\nb[\n[4]]Nay.\| Mine life doth be over.;\nb[\n[4]]No.\| Non c'è modo.;;
\nb[\n[1]]Fine.;\nb[\n[1]]Ok.;;
\nb[\n[4]]Nay, that wouldst be even worse!\| Fine, I shall lend thee mine crowne!\| Use it well to save the Kingdom.\. Be sure to giveth it back to me when thee are done...;\nb[\n[4]]Va bene, vi darò la mia corona!\| Ma fatene buon uso!\| E salvate il Regno.\. Alla fine di tutto riportatemela.;;
\nb[\n[1]]Alright!\. Thank you, \n[4]!;\nb[\n[1]]Sììì!\. Grazie \n[4]!;;
\nb[\n[2]]Where's the \n[4]?;\nb[\n[2]]Dov'è il \n[4]?;;
\nb[\n[1]]He went into hiding. He didn't want to be seen without his crown...;\nb[\n[1]]È andato a nascondersi, si vergognava a farsi vedere senza corona.;;
\nb[\n[2]]Ok, let's go back!;\nb[\n[2]]Ok, torniamo indietro!;;
\nb[\n[1]]We're in the \map[Abyssal Waterfalls], this zone is just next to the \map[Forest of the All-Eye Monster]!\| Quick, let's hurry back to the Castle!;\nb[\n[1]]Siamo nelle \map[Abyssal Waterfalls], questa zona si congiunge con la \map[Forest of the All-Eye Monster]!\| Presto, dobbiamo raggiungere il Castello!;;
\nb[\n[2]]Let's retrace our steps!;\nb[\n[2]]Torniamo indietro!;;
